"","textNames","documentID","authorGroup","titleGroup","totalWordsChunk","keywordsCount","leg.count","arm.count","knee.count","elbow.count","swift.count","slow.count","run.count","walk.count","danc.count","leap.count","grace.count","bend.count","flex.count","lumber.count","move.count","arriv.count","pubDate","language","volumeGroup","publicationPlace"
"0544200101.30.887.txt","0544200101.30.887.txt",544200101,"                  Johnson, Samuel           1709           1784           1709-1784              ","        A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers. ... By Samuel Johnson, ...         A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by ...      ",457,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,17850101,"English","        Pages 564 to 1126         0                   Pages 1 to 563              "," 2°"
"0544200101.30.888.txt","0544200101.30.888.txt",544200101,"                  Johnson, Samuel           1709           1784           1709-1784              ","        A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers. ... By Samuel Johnson, ...         A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by ...      ",482,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,17850101,"English","        Pages 564 to 1126         0                   Pages 1 to 563              "," 2°"
"0546602500.30.12.txt","0546602500.30.12.txt",546602500,"                  Wesley, John           1703           1791           1703-1791              ","        Predestination calmly considered. By John Wesley, M.A.         Predestination calmly considered. By John Wesley, M.A.      ",724,13,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,17520101,"English","        0         0      ","London"
"0547900800.30.51.txt","0547900800.30.51.txt",547900800,"                  Reynolds, John           1667           1727           1667-1727              ","        Memoirs of the life of the late pious and learned Mr. John Reynolds. Chiefly extracted from his manuscripts. To which is added, his view of death: or the soul's departure from the world. A philosophical sacred poem. With a Copious Body of Explanatory Notes, And some Additional Composurts, Never before printed.         Memoirs of the life of the late pious and learned Mr. John Reynolds. Chiefly extracted from his manuscripts. To which is added, his view of death: ...      ",712,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17350101,"English","        0         0      ","London"
"0552200300.30.17.txt","0552200300.30.17.txt",552200300,"                  Watts, Isaac           1674           1748           1674-1748              ","        Hor? lyric?. Poems chiefly of the lyric kind, in three books. Sacred I. To devotion and piety. II. To vertue, honour and friendship. III. To the memory of the dead. By I. Watts.         Hor? lyric?. Poems chiefly of the lyric kind, in three books. Sacred I. To devotion and piety. II. To vertue, honour and friendship. III. To the ...      ",785,13,0,2,0,0,2,0,1,0,0,0,7,0,0,0,1,0,17220101,"English","        0         0      ","London"
"0552200400.30.18.txt","0552200400.30.18.txt",552200400,"                  Watts, Isaac           1674           1748           1674-1748              ","        Hor? lyric?. Poems chiefly of the lyric kind, in three books. Sacred I. To devotion and piety. II. To virtue, honour and friendship. III. To the memory of the dead. By I. Watts.         Hor? lyric?. Poems chiefly of the lyric kind, in three books. Sacred I. To devotion and piety. II. To virtue, honour and friendship. III. To the ...      ",739,13,0,2,0,0,2,0,1,0,0,0,7,0,0,0,1,0,17270101,"English","        0         0      ","London"
"0553601400.30.33.txt","0553601400.30.33.txt",553601400,"                  Wesley, John           1703           1791           1703-1791              ","        A collection of hymns, for the use of the people called Methodists.         A collection of hymns, for the use of the people called Methodists.      ",700,13,0,1,0,0,0,0,0,1,0,0,10,0,0,0,1,0,17820101,"English","        0         0      ","London"
"0553601400.30.34.txt","0553601400.30.34.txt",553601400,"                  Wesley, John           1703           1791           1703-1791              ","        A collection of hymns, for the use of the people called Methodists.         A collection of hymns, for the use of the people called Methodists.      ",680,13,0,2,0,0,0,0,0,0,0,0,8,0,0,0,3,0,17820101,"English","        0         0      ","London"
"0553601400.30.60.txt","0553601400.30.60.txt",553601400,"                  Wesley, John           1703           1791           1703-1791              ","        A collection of hymns, for the use of the people called Methodists.         A collection of hymns, for the use of the people called Methodists.      ",689,13,0,3,0,0,0,0,0,3,0,0,5,0,0,0,2,0,17820101,"English","        0         0      ","London"
"0556200102.31.28.txt","0556200102.31.28.txt",556200102,"                  Webster, William           ca. 1684-1744              ","        A compendious course of practical mathematicks. Particularly adapted to the use of the gentlemen of the army and navy. In three volumes. For the most part translated from the tracts publish'd in French by P. Hoste, Professor of Mathematicks in the Royal Academy of Thoulon. By William Webster. ... containing, Arithmetick Vulgar and Decimal.         A compendious course of practical mathematicks. Particularly adapted to the use of the gentlemen of the army and navy. In three volumes. For the ...         Arithmetick in epitome         Théorie de la construction des vaisseaux, qui contient plusieurs traitez de mathématique. English      ",481,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17300101,"English","        Volume 2         3                   Volume 1           Volume 3              ","London"
"0558801100.31.42.txt","0558801100.31.42.txt",558801100,"                  Taylor, James           1706 or 7           1753           1706 or 7-1753              ","        Remarks on the German empire. With an historical account of the towns on the Rhine, and the operations of the campaign, 1743. By James Taylor, A. M. Rector of Broadway in the County of Dorset, and Chaplain to His Majesty's own Regiment of Horse.         Remarks on the German empire. With an historical account of the towns on the Rhine, and the operations of the campaign, 1743. By James Taylor, A. ...      ",754,13,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,17450101,"English","        0         0      ","London"
"0559600105.31.255.txt","0559600105.31.255.txt",559600105,"                  Walpole, Horace           1717           1797           1717-1797              ","        The works of Horatio Walpole, Earl of Orford. In five volumes. ...         The works of Horatio Walpole, Earl of Orford. In five volumes. ...         Works      ",710,13,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1,17980101,"English","        Volume 5         5                   Volume 1           Volume 2           Volume 3           Volume 4              ","London"
"0562202200.31.3.txt","0562202200.31.3.txt",562202200,"                  Vanbrugh, John, Sir           1664-1726              ","        The provoked husband. Or a journey to London. A comedy. Written by Sir John Vanbrugh and Mr. Cibber. Taken from the manager's book, at the Theatre Royal, Drury-Lane.         The provoked husband. Or a journey to London. A comedy. Written by Sir John Vanbrugh and Mr. Cibber. Taken from the manager's book, at the ...         Provok'd husband      ",594,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17900101,"English","        0         0      ","London"
"0566100600.31.26.txt","0566100600.31.26.txt",566100600,"                  Gilpin, William           1724           1804           1724-1804              ","        An essay on prints. By William Gilpin, M. A. Prebendary of Salisbury; and Vicar of Boldre in New-Forest, Near Lymington.         An essay on prints. By William Gilpin, M. A. Prebendary of Salisbury; and Vicar of Boldre in New-Forest, Near Lymington.         Essay upon prints      ",741,13,3,0,1,0,0,0,0,0,5,0,4,0,0,0,0,0,17920101,"English","        0         0      ","London"
"0568301100.31.8.txt","0568301100.31.8.txt",568301100,"                  Addison, Joseph           1672           1719           1672-1719              ","        Miscellanies, in verse and prose. Written by the Right Honourable Joseph Addison Esq;         Miscellanies, in verse and prose. Written by the Right Honourable Joseph Addison Esq;         Selections      ",750,13,0,5,0,0,1,0,1,0,1,0,0,1,0,0,3,1,17250101,"English","        0         0      ","London"
"0568700700.31.2.txt","0568700700.31.2.txt",568700700,"                  Theobald, Mr. (Lewis)           1688           1744           1688-1744              ","        Orpheus and Eurydice. An opera. As it is performed at the Theatre Royal in Covent Garden. Set to musick by John-Frederick Lampe.         Orpheus and Eurydice. An opera. As it is performed at the Theatre Royal in Covent Garden. Set to musick by John-Frederick Lampe.      ",738,13,0,7,0,0,0,0,1,0,3,0,0,0,0,0,1,1,17400101,"English","        0         0      "," 8°"
"0574700503.32.82.txt","0574700503.32.82.txt",574700503,"                  Wesley, John           1703           1791           1703-1791              ","        A survey of the wisdom of God in the creation: or a compendium of natural philosophy. In three volumes. Vol.III.         A survey of the wisdom of God in the creation: or a compendium of natural philosophy. In three volumes. Vol.III.      ",609,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,17700101,"English","        Volume 3         3      ","Bristol"
"0580600702.32.130.txt","0580600702.32.130.txt",580600702,"                  Taylor, C. (Charles)           1756           1823           1756-1823              ","        Surveys of nature, historical, moral, and entertaining, exhibiting the principles of natural science in various branches, by Francis Fitzgerald Esq. Author of the Lectures in the Artist's Repository.         Surveys of nature, historical, moral, and entertaining, exhibiting the principles of natural science in various branches, by Francis Fitzgerald ...      ",795,13,4,0,0,0,1,0,5,1,0,2,0,0,0,0,0,0,17870101,"English","        Volume 2         2                   Volume 1              ","London"
"0580600702.32.153.txt","0580600702.32.153.txt",580600702,"                  Taylor, C. (Charles)           1756           1823           1756-1823              ","        Surveys of nature, historical, moral, and entertaining, exhibiting the principles of natural science in various branches, by Francis Fitzgerald Esq. Author of the Lectures in the Artist's Repository.         Surveys of nature, historical, moral, and entertaining, exhibiting the principles of natural science in various branches, by Francis Fitzgerald ...      ",762,13,5,1,0,0,1,0,3,2,0,1,0,0,0,0,0,0,17870101,"English","        Volume 2         2                   Volume 1              ","London"
"0583901300.32.31.txt","0583901300.32.31.txt",583901300,"                  Blackmore, Richard, Sir           1729           d. 1729              ","        Creation. A philosophical poem, demonstrating the existence and providence of a God. In seven books. By Sir Richard Blackmore Knt M. D. and Fellow of the College of Physicians in London.         Creation. A philosophical poem, demonstrating the existence and providence of a God. In seven books. By Sir Richard Blackmore Knt M. D. and ...      ",683,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,17180101,"English","        0         0      ","London"
"0590000105.32.5.txt","0590000105.32.5.txt",590000105,"                  Pope, Alexander           1688-1744              ","        The iliad of Homer. Translated by Mr. Pope.         The iliad of Homer. Translated by Mr. Pope.         Iliad. English      ",682,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17200101,"English","        Volume 5         6                   Volume 1           Volume 2           Volume 3           Volume 4           Volume 6              ","London"
"0590000106.32.27.txt","0590000106.32.27.txt",590000106,"                  Pope, Alexander           1688-1744              ","        The iliad of Homer. Translated by Mr. Pope.         The iliad of Homer. Translated by Mr. Pope.         Iliad. English      ",744,13,1,2,1,0,2,0,2,0,0,0,3,1,0,0,1,0,17200101,"English","        Volume 6         6                   Volume 1           Volume 2           Volume 3           Volume 4           Volume 5              ","London"
"0601001401.33.12.txt","0601001401.33.12.txt",601001401,"                  Dennis, John           1657           1734           1657-1734              ","        The select works of Mr. John Dennis. In two volumes.         The select works of Mr. John Dennis. In two volumes.         Selections      ",695,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17180101,"English","        Volume 1         2                   Volume 2              "," 8°"
"0605400501.33.55.txt","0605400501.33.55.txt",605400501,"                  Macpherson, James           1736           1796           1736-1796              ","        Morison's edition of the Poems of Ossian, the son of Fingal. Translated by James Macpherson, Esq; carefully corrected, and greatly improved. With a sett [sic] of elegant engravings, from original drawings, by Stothard and Allan. ...         Morison's edition of the Poems of Ossian, the son of Fingal. Translated by James Macpherson, Esq; carefully corrected, and greatly improved. With ...         Poems of Ossian      ",713,13,0,10,0,0,0,0,0,0,0,1,0,1,0,0,1,0,17950101,"English","        Volume 1         2                   Volume 2              ","Perth"
"0608700600.33.43.txt","0608700600.33.43.txt",608700600,"                  Hamilton, Alexander           1739           1802           1739-1802              ","        A treatise of midwifery; comprehending the management of female complaints, and the treatment of children in early infancy. To which are Added, Prescriptions for Women and Children; and Directions for preparing a Variety of Food and Drinks, adapted to me Circumstances of Lyingain Women. Divested of Technical Terms and Abstruse Theories, for the Use of Female and other Practitioners, and Private Families. By Alexander Hamilton, M. D. Professor of Midwisery in the University of Edinburgh, and Member of the Royal College of Surgeons.         A treatise of midwifery; comprehending the management of female complaints, and the treatment of children in early infancy. To which are Added, ...      ",750,13,2,6,1,1,0,0,0,0,0,0,0,1,0,0,2,0,17850101,"English","        0         0      ","Edinburgh"
"0608800102.33.80.txt","0608800102.33.80.txt",608800102,"                  Goldsmith, Oliver           1728           1774           1728-1774              ","        An history of the earth, and animated nature: by Oliver Goldsmith. In eight volumes. ...         An history of the earth, and animated nature: by Oliver Goldsmith. In eight volumes. ...      ",790,13,4,0,0,0,1,0,2,2,0,0,1,0,0,0,3,0,17740101,"English","        Volume 2         8                   Volume 1           Volume 3           Volume 4           Volume 5           Volume 6           Volume 7           Volume 8              ","London"
"0608800104.33.14.txt","0608800104.33.14.txt",608800104,"                  Goldsmith, Oliver           1728           1774           1728-1774              ","        An history of the earth, and animated nature: by Oliver Goldsmith. In eight volumes. ...         An history of the earth, and animated nature: by Oliver Goldsmith. In eight volumes. ...      ",786,13,3,0,0,0,3,0,2,0,0,0,0,0,0,0,5,0,17740101,"English","        Volume 4         8                   Volume 1           Volume 2           Volume 3           Volume 5           Volume 6           Volume 7           Volume 8              ","London"
"0608800105.33.22.txt","0608800105.33.22.txt",608800105,"                  Goldsmith, Oliver           1728           1774           1728-1774              ","        An history of the earth, and animated nature: by Oliver Goldsmith. In eight volumes. ...         An history of the earth, and animated nature: by Oliver Goldsmith. In eight volumes. ...      ",793,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17740101,"English","        Volume 5         8                   Volume 1           Volume 2           Volume 3           Volume 4           Volume 6           Volume 7           Volume 8              ","London"
"0608800106.33.20.txt","0608800106.33.20.txt",608800106,"                  Goldsmith, Oliver           1728           1774           1728-1774              ","        An history of the earth, and animated nature: by Oliver Goldsmith. In eight volumes. ...         An history of the earth, and animated nature: by Oliver Goldsmith. In eight volumes. ...      ",792,13,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,17740101,"English","        Volume 6         8                   Volume 1           Volume 2           Volume 3           Volume 4           Volume 5           Volume 7           Volume 8              ","London"
"0609501400.33.25.txt","0609501400.33.25.txt",609501400,"                  Taylor, Henry           1711           1785           1711-1785              ","        The apology of Benjamin Ben Mordecai to his friends, for embracing Christianity; in several letters to Elisha Levi, merchant, of Amsterdam. Letters V,VI, and Vii.         The apology of Benjamin Ben Mordecai to his friends, for embracing Christianity; in several letters to Elisha Levi, merchant, of Amsterdam. ...         Apology of Benjamin Ben Mordecai. Letter 5-7      ",634,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17740101,"English","        0         0      ","London"
"0614600602.33.142.txt","0614600602.33.142.txt",614600602,"                  Pratt, Mr. (Samuel Jackson)           1749           1814           1749-1814              ","        Gleanings through Wales, Holland and Westphalia, with views of peace and war at home and abroad. To which is added Humanity; or the rights of nature. A poem, revised and corrected. By Mr. Pratt. ...         Gleanings through Wales, Holland and Westphalia, with views of peace and war at home and abroad. To which is added Humanity; or the rights of ...      ",788,13,0,5,0,0,1,0,0,0,1,0,3,1,0,0,2,0,17970101,"English","        Volume 2         2                   Volume 1              "," 8°."
"0624800302.34.2.txt","0624800302.34.2.txt",624800302,"                  Ramsay, Allan           1685-1758              ","        The ever green, being a collection of Scots poems, wrote by the ingenious before 1600. ... . Published by Allan Ramsay.         The ever green, being a collection of Scots poems, wrote by the ingenious before 1600. ... . Published by Allan Ramsay.      ",608,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17240101,"English","        Volume 2         2                   Volume 1              "," 8°."
"0626200404.34.92.txt","0626200404.34.92.txt",626200404,"                  Johnson, Samuel           1709-1784              ","        Catalogus bibliothecæ Harleianæ, in locos communes distributus cum indice auctorum. ...         Catalogus bibliothecæ Harleianæ, in locos communes distributus cum indice auctorum. ...      ",490,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17440101,"English","        Volume 4         4                   Volume 3              "," 8°."
"0627601201.34.86.txt","0627601201.34.86.txt",627601201,"                  Atterbury, Lewis           1656           1731           1656-1731              ","        Sermons on select subjects. By Lewis Atterbury, LL.D. One of the Preaching Chaplains To their Late Majesties Queen Anne and King Georgei. In two volumes. Now first published from the originals; with a brief account of the author. By Edward Yardley, B.D. Archdeacon of Cardigan. ...         Sermons on select subjects. By Lewis Atterbury, LL.D. One of the Preaching Chaplains To their Late Majesties Queen Anne and King Georgei. In two ...      ",728,13,0,0,0,0,0,0,1,6,0,0,5,0,0,0,0,1,17430101,"English","        Volume 1         2                   Volume 2              ","London"
