textNames,documentID,authorGroup,titleGroup,totalWordsChunk,keywordsCount,keywordsTf,keywordsTfIdf,lyric.count,lyric.tf,poem.count,poem.tf,poet.count,poet.tf,poetri.count,poetri.tf,prosodi.count,prosodi.tf,versif.count,versif.tf,pubDate,language,volumeGroup,publicationPlace
1583400102.76.559.txt,1583400102,"                  Johnson, Samuel           1709           1784           1709-1784              ","        A dictionary of the English language; in which the words are deduced from their originals and illustrated in their different significations by examples from the best writers. To which are prefixed, a history of the language, and an English grammar. By Samuel Johnson, A. M. In two volumes.         A dictionary of the English language; in which the words are deduced from their originals and illustrated in their different significations by ...      ",725,31,0.042758621,5.303181688,0,0,9,0.012413793,14,0.019310345,8,0.011034483,0,0,0,0,17550101,English,        Volume 2         2                   Volume 1              , 2°
1535400803.74.107.txt,1535400803,"                  Shaftesbury, Anthony Ashley Cooper, Earl of           1671           1713           1671-1713              ","        Characteristicks of men, manners, opinions, times. In three volumes. By the Right Honourable Anthony, Earl of Shaftesbury.         Characteristicks of men, manners, opinions, times. In three volumes. By the Right Honourable Anthony, Earl of Shaftesbury.      ",517,30,0.058027079,5.093190755,0,0,2,0.003868472,19,0.036750484,9,0.017408124,0,0,0,0,17230101,English,        Volume 3         3                   Volume 1           Volume 2              ,London
1583400102.76.556.txt,1583400102,"                  Johnson, Samuel           1709           1784           1709-1784              ","        A dictionary of the English language; in which the words are deduced from their originals and illustrated in their different significations by examples from the best writers. To which are prefixed, a history of the language, and an English grammar. By Samuel Johnson, A. M. In two volumes.         A dictionary of the English language; in which the words are deduced from their originals and illustrated in their different significations by ...      ",727,30,0.041265475,5.327465244,0,0,9,0.012379642,13,0.017881706,8,0.011004127,0,0,0,0,17550101,English,        Volume 2         2                   Volume 1              , 2°
1524601400.73.36.txt,1524601400,"                  Swift, Jonathan           1667           1745           1667-1745              ","        A second collection of miscellanies. Written by Jonathan Swift, D.D.         A second collection of miscellanies. Written by Jonathan Swift, D.D.      ",497,29,0.058350101,5.670203628,0,0,25,0.050301811,3,0.006036217,1,0.002012072,0,0,0,0,17200101,English,        0         0      ,London
1341700903.64.105.txt,1341700903,"                  Shaftesbury, Anthony Ashley Cooper, Earl of           1671           1713           1671-1713              ","        Characteristicks of men, manners, opinions, times. In three volumes. By the Right Honourable Anthony, Earl of Shaftesbury.         Characteristicks of men, manners, opinions, times. In three volumes. By the Right Honourable Anthony, Earl of Shaftesbury.      ",511,27,0.052837573,4.889756929,0,0,1,0.001956947,21,0.04109589,5,0.009784736,0,0,0,0,17730101,English,        Volume 3         3                   Volume 1           Volume 2              , 8°
1697702102.81.100.txt,1697702102,"                  Crusius, Lewis           1701           1775           1701-1775              ","        The lives of the Roman poets. Containing a critical and historical account of them and their writings, with large quotations of their most celebrated passages, as far as was necessary to compare and illustrate their several excellencies, as well as to discover wherein they were desicient. To which is added, a chronological table, fitted to the years before and after Christ, shewing the times when they flourished and published their works, and exhibiting the more remarkable events coincident with them. Together with an introduction concerning the origin and progress of poetry in general; and an essay on dramatick poetry in particular. By Lewis Crusius, late of St. John's College, Cambridge. In two volumes.         The lives of the Roman poets. Containing a critical and historical account of them and their writings, with large quotations of their most ...      ",639,25,0.039123631,5.86416273,3,0.004694836,9,0.014084507,9,0.014084507,4,0.006259781,0,0,0,0,17320101,English,        Volume 2         2                   Volume 1              , 4°
1636300100.78.7.txt,1636300100,"                  Robinson, John           1737           1742           fl. 1737-1742              ","        A catalogue of useful, pleasant, and curious books, ... which begin selling on Thursday, May 8th, 1740. ... By their most humble servant, John Robinson, bookseller, in Southampton-Street, Covent-Garden.         A catalogue of useful, pleasant, and curious books, ... which begin selling on Thursday, May 8th, 1740. ... By their most humble servant, John ...      ",498,24,0.048192771,5.746881864,0,0,22,0.044176707,1,0.002008032,1,0.002008032,0,0,0,0,17400101,English,        0         0      ,London
1293200601.62.137.txt,1293200601,"                  Robinson, Jacob              ","        The History of the works of the learned. Giving a general view of the state of learning throughout Europe, and containing an impartial account and accurate abstracts of the most valuable books publish'd in Great Britain and foreign parts. Interspers'd with dissertations on several curious and entertaining subjects, critical reflections, and memoirs of the most eminent writers in all branches of polite literature.         The History of the works of the learned. Giving a general view of the state of learning throughout Europe, and containing an impartial account ...         History of the works of the learned (London, England : 1737 : Semiannual)         Running title, verso: Works of the learned      ",706,23,0.032577904,5.778154308,0,0,12,0.016997167,2,0.002832861,9,0.012747875,0,0,0,0,17430101,English,        Volume 1         2                   Volume 2              , 8°.
1416900601.68.1.txt,1416900601,"                  Macpherson, James           1736           1796           1736-1796              ","        The works of Ossian, the son of Fingal. In two volumes. Translated from the Galic language by James Macpherson. In six books; and several other poems.         The works of Ossian, the son of Fingal. In two volumes. Translated from the Galic language by James Macpherson. In six books; and several other ...         Poems of Ossian      ",662,23,0.034743202,5.692416497,0,0,20,0.03021148,2,0.003021148,1,0.001510574,0,0,0,0,17650101,English,        Volume 1         2                   Volume 2              , 12°
1291300102.62.154.txt,1291300102,"                  Blair, Hugh           1718           1800           1718-1800              ","        Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...         Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles ...      ",652,21,0.032208589,6.254559608,2,0.003067485,2,0.003067485,5,0.007668712,11,0.016871166,0,0,1,0.001533742,17890101,English,        Volume 2         2                   Volume 1              , 8°.
1605400303.77.102.txt,1605400303,"                  Shaftesbury, Anthony Ashley Cooper, Earl of           1671           1713           1671-1713              ","        Characteristicks. Volume I. A letter concerning enthusiasm. Sensus Communis; an essay on the freedom of wit and humour. Soliloquy, or advice to an author.         Characteristicks. Volume I. A letter concerning enthusiasm. Sensus Communis; an essay on the freedom of wit and humour. Soliloquy, or advice to ...         Characteristicks of men, manners, opinions, times      ",505,21,0.041584158,5.049254209,0,0,1,0.001980198,14,0.027722772,6,0.011881188,0,0,0,0,17440101,English,        Volume 3         3                   Volume 1           Volume 2              , 12°
1699900109.81.180.txt,1699900109,"                  Chatterton, Thomas           1752-1770              ","        The Town and country magazine; or Universal repository of knowledge, instruction, and entertainment. For the year ...         The Town and country magazine; or Universal repository of knowledge, instruction, and entertainment. For the year ...         Town and country magazine; or Universal repository of knowledge, instruction, and entertainment (London, England : Annual)         Town and country magazine         Universal repository         Universal repository of knowledge, instruction, and entertainment      ",660,21,0.031818182,5.477835367,0,0,0,0,8,0.012121212,13,0.01969697,0,0,0,0,17690101,English,        Volume 9         27                   Volume 1           Volume 2           Volume 3           Volume 4           Volume 5           Volume 6           Volume 7           Volume 8           Volume 10           Volume 11           Volume 15           Volume 16           Volume 17              ,London
1775400102.83.115.txt,1775400102," 			  				 Sheridan, Thomas  				 1719  				 1788  				 1719-1788  			  		"," 			 A complete dictionary of the English language, both with regard to sound and meaning: one main object of which is, to establish a plain and permanent standard of pronunciation. To which is prefixed a prosodial grammar. By Thomas Sheridan, A.M.  			 A complete dictionary of the English language, both with regard to sound and meaning: one main object of which is, to establish a plain and ...  		",587,21,0.035775128,5.546355628,0,0,6,0.010221465,6,0.010221465,9,0.015332198,0,0,0,0,17970101,English, , Volume 2  
1291300102.62.111.txt,1291300102,"                  Blair, Hugh           1718           1800           1718-1800              ","        Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...         Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles ...      ",734,20,0.027247956,5.46036804,0,0,11,0.014986376,6,0.008174387,3,0.004087193,0,0,0,0,17890101,English,        Volume 2         2                   Volume 1              , 8°.
1291300102.62.153.txt,1291300102,"                  Blair, Hugh           1718           1800           1718-1800              ","        Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...         Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles ...      ",633,20,0.031595577,6.463138369,3,0.004739336,1,0.001579779,5,0.007898894,10,0.015797788,0,0,1,0.001579779,17890101,English,        Volume 2         2                   Volume 1              , 8°.
1291300102.62.94.txt,1291300102,"                  Blair, Hugh           1718           1800           1718-1800              ","        Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...         Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles ...      ",663,20,0.030165913,6.511436316,3,0.004524887,3,0.004524887,4,0.006033183,9,0.013574661,0,0,1,0.001508296,17890101,English,        Volume 2         2                   Volume 1              , 8°.
1312100100.63.1.txt,1312100100,"                  Collins, William           1721           1759           1721-1759              ","        The poetical works of Mr. William Collins. With a prefatory essay, By Mrs. Barbauld.         The poetical works of Mr. William Collins. With a prefatory essay, By Mrs. Barbauld.      ",632,20,0.03164557,6.579261136,4,0.006329114,4,0.006329114,2,0.003164557,10,0.015822785,0,0,0,0,17970101,English,        0         0      ,London
1312400200.63.1.txt,1312400200,"                  Macpherson, James           1736           1796           1736-1796              ","        Fingal, an ancient epic poem. In six books: together with several other poems, composed by Ossian the son of Fingal. Translated from the Galic language, by James Macpherson.         Fingal, an ancient epic poem. In six books: together with several other poems, composed by Ossian the son of Fingal. Translated from the Galic ...      ",644,20,0.031055901,5.678209449,0,0,17,0.026397516,2,0.00310559,1,0.001552795,0,0,0,0,17630101,English,        0         0      ,Dublin
1377501700.66.3.txt,1377501700,"                  South, Robert           1634           1716           1634-1716              ","        Musica incantans, Sive poema exprimens musicæ vires, juvenem in insaniam adigentis, et musici inde periculum. Authore Roberto South, Art Bac. nunc S.T.P. & ædis Christi Canonico.         Musica incantans, Sive poema exprimens musicæ vires, juvenem in insaniam adigentis, et musici inde periculum. Authore Roberto South, Art Bac. ...      ",502,19,0.037848606,5.736290209,0,0,17,0.033864542,1,0.001992032,1,0.001992032,0,0,0,0,17080101,Latin,        0         0      ,London
1636000518.78.82.txt,1636000518,"                  Swift, Jonathan           1667           1745           1667-1745              ","        The works of Dr. Jonathan Swift, dean of St. Patrick's, Dublin. Volume XVIII.         The works of Dr. Jonathan Swift, dean of St. Patrick's, Dublin. Volume XVIII.      ",667,19,0.028485757,4.805035746,0,0,0,0,16,0.023988006,3,0.004497751,0,0,0,0,17750101,English,        Volume 18         18      ,London
1697702101.81.111.txt,1697702101,"                  Crusius, Lewis           1701           1775           1701-1775              ","        The lives of the Roman poets. Containing a critical and historical account of them and their writings, with large quotations of their most celebrated passages, as far as was necessary to compare and illustrate their several excellencies, as well as to discover wherein they were desicient. To which is added, a chronological table, fitted to the years before and after Christ, shewing the times when they flourished and published their works, and exhibiting the more remarkable events coincident with them. Together with an introduction concerning the origin and progress of poetry in general; and an essay on dramatick poetry in particular. By Lewis Crusius, late of St. John's College, Cambridge. In two volumes.         The lives of the Roman poets. Containing a critical and historical account of them and their writings, with large quotations of their most ...      ",503,19,0.03777336,5.51155221,1,0.001988072,2,0.003976143,9,0.017892644,7,0.013916501,0,0,0,0,17320101,English,        Volume 1         2                   Volume 2              , 4°
1725200100.82.66.txt,1725200100,"                  Adams, John           1750?           1814           1750?-1814              ","        The flowers of ancient history; Comprehending on a new plan, the most remarkable interesting events, as well as characters, of antiquity. Designed for the improvement and entertainment of youth. By the Rev. John Adams, A.M.         The flowers of ancient history; Comprehending on a new plan, the most remarkable interesting events, as well as characters, of antiquity. ...      ",718,19,0.026462396,6.444946199,5,0.006963788,2,0.002785515,7,0.009749304,5,0.006963788,0,0,0,0,17910101,English,        0         0      ,Dublin
1773600101.83.28.txt,1773600101," 			  				 Pope, Alexander  				 1688  				 1744  				 1688-1744  			  		"," 			 The works of Alexander Pope Esq. In nine volumes, complete. With his last corrections, additions, and improvements: ...  			 The works of Alexander Pope Esq. In nine volumes, complete. With his last corrections, additions, and improvements: ...  			 Works  		",692,19,0.027456647,5.431250543,0,0,5,0.007225434,7,0.010115607,7,0.010115607,0,0,0,0,17660101,English, , Volume 1  
1291300102.62.82.txt,1291300102,"                  Blair, Hugh           1718           1800           1718-1800              ","        Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...         Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles ...      ",759,18,0.023715415,5.871520652,0,0,0,0,2,0.002635046,16,0.021080369,0,0,0,0,17890101,English,        Volume 2         2                   Volume 1              , 8°.
1291300102.62.92.txt,1291300102,"                  Blair, Hugh           1718           1800           1718-1800              ","        Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...         Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles ...      ",657,18,0.02739726,7.078847441,6,0.00913242,2,0.00304414,2,0.00304414,8,0.01217656,0,0,0,0,17890101,English,        Volume 2         2                   Volume 1              , 8°.
1291300102.62.93.txt,1291300102,"                  Blair, Hugh           1718           1800           1718-1800              ","        Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...         Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles ...      ",670,18,0.026865672,7.707588954,7,0.010447761,0,0,4,0.005970149,5,0.007462687,0,0,2,0.002985075,17890101,English,        Volume 2         2                   Volume 1              , 8°.
1291300102.62.96.txt,1291300102,"                  Blair, Hugh           1718           1800           1718-1800              ","        Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...         Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles ...      ",739,18,0.02435724,5.753095117,1,0.00135318,0,0,6,0.00811908,11,0.01488498,0,0,0,0,17890101,English,        Volume 2         2                   Volume 1              , 8°.
1293200601.62.138.txt,1293200601,"                  Robinson, Jacob              ","        The History of the works of the learned. Giving a general view of the state of learning throughout Europe, and containing an impartial account and accurate abstracts of the most valuable books publish'd in Great Britain and foreign parts. Interspers'd with dissertations on several curious and entertaining subjects, critical reflections, and memoirs of the most eminent writers in all branches of polite literature.         The History of the works of the learned. Giving a general view of the state of learning throughout Europe, and containing an impartial account ...         History of the works of the learned (London, England : 1737 : Semiannual)         Running title, verso: Works of the learned      ",686,18,0.026239067,6.028221536,0,0,3,0.004373178,3,0.004373178,11,0.016034985,0,0,1,0.001457726,17430101,English,        Volume 1         2                   Volume 2              , 8°.
1399700100.67.61.txt,1399700100,"                  Butler, Samuel           1765-1827              ",        Essays on rhetoric. Abridged chiefly from Dr. Blair's lectures on that science.         Essays on rhetoric. Abridged chiefly from Dr. Blair's lectures on that science.         Lectures on rhetoric and belles lettres. Abridgments      ,599,18,0.030050083,6.410422897,4,0.006677796,3,0.005008347,5,0.008347245,6,0.010016694,0,0,0,0,17970501,English,        0         0      ,Boston|Albany.|Baltimore.
1399700100.67.64.txt,1399700100,"                  Butler, Samuel           1765-1827              ",        Essays on rhetoric. Abridged chiefly from Dr. Blair's lectures on that science.         Essays on rhetoric. Abridged chiefly from Dr. Blair's lectures on that science.         Lectures on rhetoric and belles lettres. Abridgments      ,579,18,0.031088083,6.066209764,2,0.003454231,4,0.006908463,4,0.006908463,8,0.013816926,0,0,0,0,17970501,English,        0         0      ,Boston|Albany.|Baltimore.
1416900602.68.9.txt,1416900602,"                  Macpherson, James           1736           1796           1736-1796              ","        The works of Ossian, the son of Fingal. In two volumes. Translated from the Galic language by James Macpherson. In six books; and several other poems.         The works of Ossian, the son of Fingal. In two volumes. Translated from the Galic language by James Macpherson. In six books; and several other ...         Poems of Ossian      ",674,18,0.026706231,5.464031291,0,0,12,0.017804154,5,0.007418398,1,0.00148368,0,0,0,0,17650101,English,        Volume 2         2                   Volume 1              , 12°
1462402400.70.1.txt,1462402400,"                  Macpherson, James           1736           1796           1736-1796              ","        Fingal, an ancient epic poem, in six books: Together with several other poems, composed by Ossian the son of Fingal. Translated from the Galic Language, by James Macpherson.         Fingal, an ancient epic poem, in six books: Together with several other poems, composed by Ossian the son of Fingal. Translated from the Galic ...      ",624,18,0.028846154,5.652412915,0,0,16,0.025641026,2,0.003205128,0,0,0,0,0,0,17620101,English,        0         0      ,London
